carbonate_host,lithology_code,dist_faults,moho_depth,lab_depth,gravity,gravity_hgm,mag_rtp,mag_hgm,shape_index,split_id,label,x,y,row,col,sample_role
0.0,5.0,108292.43,37.53214,171.13017,-135.34973,0.008260357,123.82622,1.3606339e-06,-0.032860313,1,0,525750.0,-2772250.0,3239,1703,background
1.0,1.0,2915.4758,39.733425,200.90863,-255.70256,0.008735578,120.338905,5.4735983e-07,-0.9610593,1,0,26250.0,-2712250.0,3119,704,background
0.0,5.0,5590.17,34.055153,200.67854,-29.209646,0.00525431,125.67448,2.2190372e-06,-0.6599679,1,0,247250.0,-2752750.0,3200,1146,background
0.0,4.0,26086.395,40.7397,189.78279,76.434074,0.016075442,209.36636,5.4940983e-06,0.50304806,1,0,486250.0,-2369750.0,2434,1624,background
0.0,5.0,4031.129,46.39907,179.89743,-124.79185,0.024247222,105.460464,6.8885415e-06,-0.048069008,1,0,-5250.0,-2216750.0,2128,641,background
0.0,5.0,4031.129,39.20371,192.55206,244.77571,0.02758176,101.02605,5.0124995e-06,-0.3903996,1,0,-5750.0,-2449750.0,2594,640,background
0.0,5.0,53911.965,40.129635,178.67732,10.973267,0.017018203,156.121,7.3427736e-06,0.38389897,1,0,-124750.0,-2070250.0,1835,402,background
0.0,4.0,707.1068,39.07082,209.86517,-390.01544,0.012139516,125.21916,3.5094124e-06,-0.7822572,1,0,210250.0,-2665750.0,3026,1072,background
0.0,5.0,11101.802,41.02481,197.7057,-118.78181,0.00136684,142.90086,2.1483886e-06,0.30008924,1,0,573250.0,-1905250.0,1505,1798,background
0.0,5.0,20303.941,40.346977,168.98863,167.86032,0.007280202,134.67433,6.92356e-07,0.63321435,1,0,437250.0,-1398750.0,492,1526,background
0.0,5.0,4031.129,40.05873,191.01965,257.3223,0.0026863308,164.64412,4.7564387e-07,0.62246466,1,1,224250.0,-1473250.0,641,1100,positive
0.0,4.0,3354.102,52.96148,172.83493,58.55887,0.015327331,150.58418,9.060358e-07,0.40714246,1,0,338750.0,-1740250.0,1175,1329,background
0.0,5.0,73384.266,33.949608,182.65913,-111.33897,0.0021527624,161.21144,1.2706418e-05,-0.14855167,1,0,414750.0,-2772750.0,3240,1481,background
0.0,7.0,2236.0679,45.649704,207.12668,-487.77948,0.019950943,129.89131,2.7035849e-06,-0.5598169,1,0,205750.0,-2552750.0,2800,1063,background
0.0,5.0,43341.664,36.257004,198.61313,-225.9161,0.0074693025,137.29996,1.4242387e-06,-0.40278476,1,0,324750.0,-2672750.0,3040,1301,background
0.0,5.0,40844.215,45.51887,191.17278,2.031357,0.009770725,150.99104,1.7362057e-06,0.15822016,1,0,213250.0,-1902250.0,1499,1078,background
0.0,5.0,10770.33,42.018845,203.57504,63.1082,0.006616923,129.52753,1.6320477e-06,0.24976464,1,0,534250.0,-1982750.0,1660,1720,background
0.0,4.0,1581.1388,40.83756,194.00963,-51.22386,0.0058447984,122.56462,2.0063464e-06,0.30634546,1,0,592250.0,-1915250.0,1525,1836,background
0.0,5.0,8500.0,48.24472,198.35356,-151.49554,0.01078829,175.29306,1.6407099e-06,-0.95064604,1,0,-126750.0,-2721750.0,3138,398,background
0.0,4.0,55226.805,52.140285,172.27103,-238.59001,0.008883657,107.65418,3.9565975e-06,0.105117805,1,0,240250.0,-1744250.0,1183,1132,background
0.0,5.0,0.0,42.11044,182.81482,82.246284,0.0038850878,186.72354,6.6133716e-06,0.44670808,1,0,282750.0,-1581250.0,857,1217,background
0.0,5.0,20862.646,41.37606,172.6067,160.41441,0.011492059,106.20073,6.6052894e-06,0.6498125,1,0,569750.0,-2628250.0,2951,1791,background
0.0,5.0,5000.0,40.332485,193.12154,266.16794,0.003962981,149.5536,2.0155398e-06,0.7225154,1,0,169250.0,-1433250.0,561,990,background
0.0,5.0,12379.418,42.10507,174.05914,-99.09658,0.0058660894,141.62395,7.406515e-06,-0.306796,1,0,130750.0,-1743250.0,1181,913,background
0.0,4.0,7778.175,40.808163,182.10896,273.20737,0.0027255986,194.47333,6.4948035e-06,0.6792749,1,0,-303250.0,-2093250.0,1881,45,background
0.0,5.0,41725.293,45.325584,160.26718,95.856346,0.0103099765,137.9188,1.360987e-06,0.5476209,1,0,479750.0,-1679250.0,1053,1611,background
0.0,5.0,2549.5098,48.89783,173.93385,181.79652,0.006156293,147.19363,1.6002915e-06,0.51221055,1,1,438750.0,-1754750.0,1204,1529,positive
0.0,5.0,9300.538,46.939133,176.70764,-31.286123,0.0141159175,168.7322,3.501102e-06,0.017740829,1,0,-60250.0,-2197250.0,2089,531,background
0.0,4.0,40610.96,44.532505,178.14769,-126.157646,0.017381057,150.39465,2.1731796e-06,0.06678542,1,0,173750.0,-1884750.0,1464,999,background
0.0,5.0,12175.796,43.149426,202.30035,-186.0345,0.009954747,146.34541,2.513445e-06,0.19958742,1,0,487750.0,-2015750.0,1726,1627,background
0.0,5.0,4472.1357,43.878716,194.06914,-80.335655,0.010680112,101.97596,2.2461684e-06,0.15343603,1,0,188750.0,-1934750.0,1564,1029,background
0.0,5.0,12980.755,41.530354,202.89633,20.230135,0.0046881405,128.33844,1.7736363e-06,0.27347368,1,0,558750.0,-1964750.0,1624,1769,background
0.0,5.0,64228.11,36.50237,179.39255,-188.78218,0.012770932,187.61179,1.2142355e-05,0.015331634,1,0,443250.0,-2726250.0,3147,1538,background
0.0,5.0,129346.44,41.50071,180.82532,-246.9218,0.00478582,127.414276,2.0880566e-06,0.027791072,1,0,-41250.0,-2041750.0,1778,569,background
0.0,5.0,40475.3,50.76676,180.03946,29.884062,0.0020500384,180.05446,2.0893012e-06,0.40676612,1,0,312250.0,-1812750.0,1320,1276,background
0.0,5.0,500.0,40.07585,175.41594,252.88808,0.010362084,250.33717,2.7662468e-06,0.70640045,1,0,-257250.0,-2178250.0,2051,137,background
0.0,5.0,2828.4272,46.028225,198.23196,-539.8146,0.012128109,250.95958,1.811543e-06,-0.96448344,1,0,122250.0,-2793750.0,3282,896,background
0.0,5.0,3500.0,47.8617,195.17987,-78.07833,0.015264184,43.39575,6.2017966e-06,0.09443127,1,0,176750.0,-2439750.0,2574,1005,background
0.0,5.0,4743.4165,44.404907,196.19768,-556.0395,0.035095483,148.10663,4.8400525e-06,-0.87335855,1,0,9250.0,-2766750.0,3228,670,background
0.0,4.0,0.0,39.907265,186.50076,128.61752,0.0029573124,142.94759,3.9890538e-06,0.5489655,1,0,181750.0,-1566750.0,828,1015,background
0.0,4.0,2500.0,39.891483,178.14427,294.48746,0.011224988,134.9507,1.0176657e-06,0.6595476,1,0,382250.0,-1353250.0,401,1416,background
1.0,1.0,1000.0,41.29207,190.19283,63.668247,0.0020646786,27.968462,9.348028e-06,0.6654836,1,0,518250.0,-2463250.0,2621,1688,background
0.0,5.0,5220.1533,47.753376,194.46175,48.848724,0.010009147,122.74775,1.9591123e-06,0.15341146,1,0,183750.0,-2421750.0,2538,1019,background
0.0,5.0,19137.66,43.46886,210.91628,-592.61646,0.002445257,140.82416,2.1540907e-06,-0.82109797,1,0,173750.0,-2613250.0,2921,999,background
0.0,4.0,2061.5527,37.216106,171.50266,-11.829497,0.0046598664,138.95357,3.417709e-06,-0.023432115,1,0,-190250.0,-1627750.0,950,271,background
0.0,5.0,8631.338,48.68167,175.33902,188.31033,0.003265695,179.48795,3.7462808e-06,0.29750916,1,0,269750.0,-1687750.0,1070,1191,background
0.0,5.0,5590.17,48.417873,196.78784,79.29844,0.021205815,59.403267,4.541428e-06,0.031186558,1,0,187750.0,-2465750.0,2626,1027,background
0.0,4.0,1581.1388,40.25276,183.84941,119.13365,0.0022227042,150.9961,5.6240065e-06,0.45928296,1,0,237250.0,-1584750.0,864,1126,background
0.0,5.0,33941.125,41.17847,186.69496,126.48116,0.0019246897,99.722435,7.2756943e-06,0.44735512,1,0,476250.0,-2332250.0,2359,1604,background
0.0,5.0,1802.7756,48.30029,197.22278,357.64813,0.024693396,101.860535,4.86518e-06,0.12611133,1,0,223750.0,-2463750.0,2622,1099,background
0.0,5.0,48931.074,44.16573,218.1219,-7.5487275,0.005180029,157.31158,4.8070597e-06,0.44915512,1,0,418750.0,-1896250.0,1487,1489,background
0.0,5.0,75713.27,38.695,171.16603,-93.03639,0.003569886,119.67983,1.7325931e-06,0.11503462,1,0,532250.0,-2729250.0,3153,1716,background
0.0,5.0,75506.625,42.067753,176.0358,148.12784,0.0052405,162.54723,1.4356402e-06,0.19948593,1,0,561750.0,-2110750.0,1916,1775,background
0.0,5.0,56612.72,42.40671,175.96744,29.717308,0.0021706119,170.57893,6.770403e-06,-0.45910537,1,0,82750.0,-1738750.0,1172,817,background
0.0,4.0,0.0,39.36753,196.68494,305.94272,0.0048597804,129.09631,3.4572183e-06,0.7766184,1,0,175250.0,-1330750.0,356,1002,background
0.0,5.0,3807.8865,42.621616,194.91708,-715.35266,0.003742881,249.27924,1.7379933e-06,-0.80522984,1,0,-750.0,-2789250.0,3273,650,background
0.0,5.0,7106.335,42.952995,207.35686,-45.207756,0.012809946,132.8995,7.707825e-07,0.22893268,1,0,492250.0,-1995750.0,1686,1636,background
0.0,5.0,12747.549,40.366135,179.01971,7.0641007,0.0042852834,83.40617,2.4070607e-06,0.48765406,1,0,-161250.0,-2125750.0,1946,329,background
0.0,5.0,36878.18,43.797413,193.11145,-121.26056,0.012388069,140.67201,5.1167367e-06,0.15086918,1,0,467250.0,-2047250.0,1789,1586,background
0.0,5.0,7382.4116,36.55784,167.76411,59.39453,0.011580009,126.54879,2.2166466e-06,0.06953016,1,0,-210250.0,-1610250.0,915,231,background
0.0,5.0,1414.2136,45.775074,203.85892,-285.82837,0.019664127,148.2675,1.9103566e-06,-0.67209685,1,0,-223250.0,-2656250.0,3007,205,background
0.0,4.0,6708.204,52.528175,174.60347,-33.893147,0.0057076113,149.4406,1.5572158e-06,0.4148427,1,0,334750.0,-1770750.0,1236,1321,background
0.0,5.0,5830.9517,41.689636,195.88123,46.509655,0.013142181,182.50775,9.232152e-06,0.42340958,1,0,393750.0,-2390750.0,2476,1439,background
0.0,5.0,34154.062,44.017292,180.15411,-341.77762,0.007480667,206.53918,3.5354883e-06,-0.01204611,1,0,-64750.0,-2138250.0,1971,522,background
0.0,5.0,45400.992,39.980774,162.8465,11.8333645,0.009116623,131.62154,1.2674105e-06,0.64678895,1,0,492250.0,-1371750.0,438,1636,background
0.0,4.0,500.0,42.29111,182.96817,126.854095,0.004263247,159.60365,5.7754555e-06,0.45015213,1,0,291750.0,-1577250.0,849,1235,background
0.0,4.0,12539.937,41.56096,207.4613,201.71239,0.0033947278,128.29866,1.5436015e-06,0.28508422,1,0,549250.0,-1939750.0,1574,1750,background
0.0,5.0,29954.13,42.144253,191.13725,-87.13275,0.004830557,205.96455,1.1960834e-06,0.0031189544,1,0,110250.0,-2029750.0,1754,872,background
0.0,5.0,12349.089,44.779556,174.96288,-260.7413,0.011961849,107.3625,2.1238868e-06,0.006808776,1,0,-197750.0,-2353750.0,2402,256,background
0.0,5.0,2236.0679,47.447258,200.10193,-277.58813,0.0042805388,223.93866,6.848112e-06,-0.83588684,1,0,-193250.0,-2724250.0,3143,265,background
0.0,5.0,68705.9,48.502277,197.92024,185.87773,0.0033311846,166.48566,1.0266306e-06,0.47336993,1,0,306750.0,-1861250.0,1417,1265,background
0.0,4.0,1118.0339,40.78238,210.88445,-335.95685,0.015627474,154.82127,1.9531788e-06,-0.7835289,1,0,204250.0,-2640250.0,2975,1060,background
0.0,4.0,23547.824,41.702953,187.05714,108.787636,0.009448053,249.72786,2.985192e-06,0.74462456,1,0,531250.0,-2501250.0,2697,1714,background
0.0,5.0,63387.695,42.25056,174.30699,81.44532,0.0028990882,171.95114,8.032223e-06,-0.59556955,1,0,73750.0,-1762750.0,1220,799,background
1.0,1.0,17269.916,44.313435,187.63348,-5.5450335,0.0059805606,119.29605,3.389488e-06,0.64174134,1,0,-19750.0,-1592750.0,880,612,background
0.0,5.0,42011.902,45.597355,222.2782,-4.1126,0.0031119979,160.8938,4.1740113e-06,0.45596653,1,0,314250.0,-1951750.0,1598,1280,background
0.0,5.0,32422.986,37.903084,197.3512,-158.20726,0.011127884,235.72745,5.992017e-06,-0.3233394,1,0,336250.0,-2657750.0,3010,1324,background
0.0,5.0,58345.95,42.2435,174.57387,13.766278,0.0052371533,132.00975,2.4171577e-06,0.1455235,1,0,518750.0,-2121750.0,1938,1689,background
0.0,4.0,0.0,50.35433,172.67574,77.9508,0.006550262,158.8113,2.7743376e-06,0.43246827,1,0,351750.0,-1690250.0,1075,1355,background
0.0,5.0,178707.16,37.64961,167.53941,-189.39586,0.008649235,133.98335,1.0845359e-06,-0.12841019,1,0,589250.0,-2815750.0,3326,1830,background
