Run: NT MVT v2 Random Forest baseline
Primary goal: scientific benchmark
Secondary output: screening prospectivity map
Pixel size: 500 m
CRS: EPSG:3577
Model: fixed Random Forest
Predictors: v1 predictor set
Coordinates used as predictors: no
Probability calibration: no
Spatial buffer: no
Background sampling: spatially stratified
Accepted split count: 10

Important limitations:
- Final map scores are relative prospectivity rankings, not deposit probabilities.
- No uncertainty map was produced in v2.
- Holdout evidence comes from repeated split evaluation, not the final map itself.

Aggregate metrics:
    region                   metric  split_count          mean        median          std     worst_min      best_max
   holdout                   pixels           10 367387.800000 366433.000000 11062.216041 356915.000000 378338.000000
   holdout                positives           10      8.500000      8.500000     3.689324      5.000000     12.000000
   holdout                  roc_auc           10      0.695134      0.752623     0.280364      0.341538      0.974997
   holdout        average_precision           10      0.000132      0.000110     0.000103      0.000028      0.000321
   holdout     top1_selected_pixels           10   3674.600000   3665.000000   110.490020   3570.000000   3784.000000
   holdout  top1_captured_positives           10      0.200000      0.000000     0.421637      0.000000      1.000000
   holdout              top1_recall           10      0.016667      0.000000     0.035136      0.000000      0.083333
   holdout           top1_precision           10      0.000053      0.000000     0.000111      0.000000      0.000264
   holdout          top1_enrichment           10      1.666667      0.000000     3.513642      0.000000      8.333333
   holdout     top5_selected_pixels           10  18369.600000  18322.000000   553.062022  17846.000000  18917.000000
   holdout  top5_captured_positives           10      2.100000      1.500000     1.595131      1.000000      5.000000
   holdout              top5_recall           10      0.350000      0.183333     0.363709      0.083333      1.000000
   holdout           top5_precision           10      0.000116      0.000081     0.000090      0.000053      0.000280
   holdout          top5_enrichment           10      7.000000      3.666667     7.274172      1.666667     20.000000
   holdout    top10_selected_pixels           10  36739.200000  36644.000000  1106.124044  35692.000000  37834.000000
   holdout top10_captured_positives           10      3.100000      3.500000     2.024846      1.000000      5.000000
   holdout             top10_recall           10      0.550000      0.583333     0.474992      0.083333      1.000000
   holdout          top10_precision           10      0.000086      0.000096     0.000058      0.000026      0.000140
   holdout         top10_enrichment           10      5.500000      5.833333     4.749919      0.833333     10.000000
validation                   pixels           10 534711.100000 538756.000000  5426.218766 524812.000000 538756.000000
validation                positives           10     12.400000     14.000000     6.310485      4.000000     24.000000
validation                  roc_auc           10      0.898181      0.882932     0.088462      0.788189      0.998256
validation        average_precision           10      0.002870      0.000952     0.005478      0.000308      0.018311
validation     top1_selected_pixels           10   5347.700000   5388.000000    54.070016   5249.000000   5388.000000
validation  top1_captured_positives           10      3.600000      3.000000     1.577621      2.000000      6.000000
validation              top1_recall           10      0.416964      0.232143     0.328678      0.125000      1.000000
validation           top1_precision           10      0.000673      0.000561     0.000296      0.000371      0.001143
validation          top1_enrichment           10     41.696429     23.214286    32.867844     12.500000    100.000000
validation     top5_selected_pixels           10  26736.000000  26938.000000   271.049811  26241.000000  26938.000000
validation  top5_captured_positives           10      7.100000      6.000000     4.931757      3.000000     20.000000
validation              top5_recall           10      0.662798      0.666667     0.337745      0.187500      1.000000
validation           top5_precision           10      0.000266      0.000223     0.000189      0.000113      0.000762
validation          top5_enrichment           10     13.255952     13.333333     6.754899      3.750000     20.000000
validation    top10_selected_pixels           10  53471.700000  53876.000000   542.393676  52482.000000  53876.000000
validation top10_captured_positives           10      8.600000      8.000000     4.452215      4.000000     20.000000
validation             top10_recall           10      0.761905      0.773810     0.231901      0.437500      1.000000
validation          top10_precision           10      0.000161      0.000148     0.000085      0.000074      0.000381
validation         top10_enrichment           10      7.619048      7.738095     2.319011      4.375000     10.000000
