split_type,region,metric,split_count,mean,median,std,worst_min,best_max
original,holdout,pixels,10,470331.7,534338.5,86655.0244014224,356915.0,538756.0
original,holdout,positives,10,8.8,10.0,5.00666222813829,3.0,16.0
original,holdout,baseline_prevalence,10,1.9795103251367494e-05,2.0417406024248454e-05,1.1850829308163252e-05,5.5683834611586696e-06,3.257222891762483e-05
original,holdout,roc_auc,10,0.7311772801699415,0.7258940034949192,0.18654142421047043,0.40747739069047717,0.9879143402852539
original,holdout,average_precision,10,0.0007241685996316082,0.00010658178071555044,0.0016652565664497497,3.3616630453451304e-05,0.0053974527853452164
original,holdout,ap_skill_vs_baseline,10,45.72576256876977,8.985766712429808,112.01869289923805,1.7901659696986014,363.48875910268094
original,holdout,top1_selected_pixels,10,4703.9,5344.0,866.4325901842182,3570.0,5388.0
original,holdout,top1_captured_positives,10,1.0,0.5,1.3333333333333333,0.0,4.0
original,holdout,top1_recall,10,0.11845238095238095,0.041666666666666664,0.17119808322135108,0.0,0.5
original,holdout,top1_precision,10,0.00019479122816430482,9.279881217520415e-05,0.0002494396278214309,0.0,0.0007423904974016332
original,holdout,top1_enrichment,10,11.845238095238095,4.166666666666666,17.119808322135107,0.0,50.0
original,holdout,top5_selected_pixels,10,23516.9,26717.5,4332.756665475482,17846.0,26938.0
original,holdout,top5_captured_positives,10,3.0,1.0,2.788866755113585,1.0,8.0
original,holdout,top5_recall,10,0.38625000000000004,0.3333333333333333,0.30730590833287974,0.08333333333333333,1.0
original,holdout,top5_precision,10,0.00012413870478099153,5.374150901051577e-05,0.00010549836588350764,3.712228079293192e-05,0.00029697824634345533
original,holdout,top5_enrichment,10,7.725,6.666666666666666,6.146118166657596,1.6666666666666665,20.0
original,holdout,top10_selected_pixels,10,47033.7,53434.5,8665.436913393347,35692.0,53876.0
original,holdout,top10_captured_positives,10,4.0,3.0,3.0912061651652345,1.0,9.0
original,holdout,top10_recall,10,0.47470238095238093,0.3333333333333333,0.3075436827696831,0.16666666666666666,1.0
original,holdout,top10_precision,10,8.569458116878874e-05,8.034008332693241e-05,5.933606250605047e-05,1.856114039646596e-05,0.00016705026356819363
original,holdout,top10_enrichment,10,4.747023809523809,3.333333333333333,3.075436827696831,1.6666666666666665,10.0
original,validation,pixels,10,425606.5,356915.0,88692.60835699143,356915.0,529921.0
original,validation,positives,10,10.2,5.0,7.0992957397195395,5.0,24.0
original,validation,baseline_prevalence,10,2.203638270743162e-05,1.4008937702254037e-05,1.1292367666832682e-05,1.4008937702254037e-05,4.5730661646456256e-05
original,validation,roc_auc,10,0.91632978952694,0.9484182286851026,0.07182454342455127,0.7701008317528614,0.9817657112437309
original,validation,average_precision,10,0.0005003458749521034,0.00037747453773657514,0.0003575987655905229,0.00014658765237122364,0.0012466594073002307
original,validation,ap_skill_vs_baseline,10,22.069656198506628,21.91206235451957,9.466329736910247,10.463866389215058,41.289437485996594
original,validation,top1_selected_pixels,10,4256.9,3570.0,886.9062896758974,3570.0,5300.0
original,validation,top1_captured_positives,10,1.3,0.5,1.888562063228706,0.0,6.0
original,validation,top1_recall,10,0.08249999999999999,0.0625,0.09505115581739247,0.0,0.25
original,validation,top1_precision,10,0.0002555262387920117,0.00014005602240896358,0.0003589095558280883,0.0,0.001143074871404077
original,validation,top1_enrichment,10,8.25,6.25,9.505115581739247,0.0,25.0
original,validation,top5_selected_pixels,10,21280.8,17846.0,4434.923494266841,17846.0,26497.0
original,validation,top5_captured_positives,10,5.4,4.0,4.501851470969102,2.0,18.0
original,validation,top5_recall,10,0.6162500000000001,0.775,0.2803798267033886,0.25,1.0
original,validation,top5_precision,10,0.00024653752620200787,0.0002241398632746834,0.0001619044741103496,0.0001120699316373417,0.000685949468389162
original,validation,top5_enrichment,10,12.325,15.5,5.607596534067771,5.0,20.0
original,validation,top10_selected_pixels,10,42561.3,35692.0,8869.454938157136,35692.0,52993.0
original,validation,top10_captured_positives,10,7.1,5.0,4.701063709417263,4.0,20.0
original,validation,top10_recall,10,0.8008333333333333,0.9166666666666667,0.24808526013509205,0.4375,1.0
original,validation,top10_precision,10,0.00016087392130098859,0.00014008741454667713,7.8023636612395e-05,0.0001120699316373417,0.0003810830379939789
original,validation,top10_enrichment,10,8.008333333333333,9.166666666666668,2.4808526013509207,4.375,10.0
