split_id,split_type,holdout_candidate_id,validation_candidate_id,holdout_zone,validation_zone,holdout_zone_name,validation_zone_name,region,region_zone_name,pixels,positives,baseline_prevalence,roc_auc,average_precision,ap_skill_vs_baseline,top1_selected_pixels,top1_captured_positives,top1_recall,top1_precision,top1_enrichment,top5_selected_pixels,top5_captured_positives,top5_recall,top5_precision,top5_enrichment,top10_selected_pixels,top10_captured_positives,top10_recall,top10_precision,top10_enrichment
1,original,1,20,0,1,northern,central,validation,central,529921,16,3.0193179738111907e-05,0.8398860998669572,0.0012466594073002307,41.289437485996594,5300,2,0.125,0.0003773584905660377,12.5,26497,5,0.3125,0.00018870060761595652,6.25,52993,8,0.5,0.0001509633347800653,5.0
1,original,1,20,0,1,northern,central,holdout,northern,356915,5,1.4008937702254037e-05,0.9473038020789555,0.0001600300302498986,11.423423649328512,3570,0,0.0,0.0,0.0,17846,4,0.8,0.0002241398632746834,16.0,35692,5,1.0,0.00014008741454667713,10.0
2,original,20,1,1,0,central,northern,validation,northern,356915,5,1.4008937702254037e-05,0.9459020481353843,0.00014658765237122364,10.463866389215058,3570,0,0.0,0.0,0.0,17846,2,0.4,0.0001120699316373417,8.0,35692,5,1.0,0.00014008741454667713,10.0
2,original,20,1,1,0,central,northern,holdout,central,529921,16,3.0193179738111907e-05,0.8042436851888546,0.0009592633349123241,31.77086160625461,5300,2,0.125,0.0003773584905660377,12.5,26497,5,0.3125,0.00018870060761595652,6.25,52993,7,0.4375,0.00013209291793255714,4.375
3,original,44,1,2,0,southern,northern,validation,northern,356915,5,1.4008937702254037e-05,0.9754075257067608,0.00037196389588840735,26.551898780202183,3570,0,0.0,0.0,0.0,17846,4,0.8,0.0002241398632746834,16.0,35692,5,1.0,0.00014008741454667713,10.0
3,original,44,1,2,0,southern,northern,holdout,southern,538756,3,5.5683834611586696e-06,0.40747739069047717,3.6790883539287216e-05,6.607103084030741,5388,0,0.0,0.0,0.0,26938,1,0.3333333333333333,3.712228079293192e-05,6.666666666666666,53876,1,0.3333333333333333,1.856114039646596e-05,3.333333333333333
4,original,2,20,0,1,northern,central,validation,central,529921,16,3.0193179738111907e-05,0.7701008317528614,0.000382985179584743,12.684493084420412,5300,2,0.125,0.0003773584905660377,12.5,26497,4,0.25,0.00015096048609276522,5.0,52993,7,0.4375,0.00013209291793255714,4.375
4,original,2,20,0,1,northern,central,holdout,northern,378338,12,3.171767044283154e-05,0.6640311530267546,5.6779894264872195e-05,1.7901659696986014,3784,0,0.0,0.0,0.0,18917,1,0.08333333333333333,5.2862504625469154e-05,1.6666666666666665,37834,2,0.16666666666666666,5.2862504625469154e-05,1.6666666666666665
5,original,21,1,1,0,central,northern,validation,northern,356915,5,1.4008937702254037e-05,0.9817657112437309,0.00043900608143204587,31.33757111086373,3570,1,0.2,0.00028011204481792715,20.0,17846,5,1.0,0.00028017482909335425,20.0,35692,5,1.0,0.00014008741454667713,10.0
5,original,21,1,1,0,central,northern,holdout,central,538756,14,2.5985789485407122e-05,0.8932881734538186,0.0002953136944583526,11.364430340828873,5388,2,0.14285714285714285,0.0003711952487008166,14.285714285714285,26938,7,0.5,0.0002598559655505234,10.0,53876,9,0.6428571428571429,0.00016705026356819363,6.428571428571429
6,original,48,1,2,0,southern,northern,validation,northern,356915,5,1.4008937702254037e-05,0.9703395814070774,0.0003294647357765471,23.518181233937266,3570,0,0.0,0.0,0.0,17846,4,0.8,0.0002241398632746834,16.0,35692,5,1.0,0.00014008741454667713,10.0
6,original,48,1,2,0,southern,northern,holdout,southern,538756,3,5.5683834611586696e-06,0.6375763414155775,0.00010366818871550095,18.61728622653614,5388,1,0.3333333333333333,0.0001855976243504083,33.33333333333333,26938,1,0.3333333333333333,3.712228079293192e-05,6.666666666666666,53876,1,0.3333333333333333,1.856114039646596e-05,3.333333333333333
7,original,3,20,0,1,northern,central,validation,central,529921,16,3.0193179738111907e-05,0.8509787721384021,0.0007351691868436211,24.34884941633491,5300,2,0.125,0.0003773584905660377,12.5,26497,4,0.25,0.00015096048609276522,5.0,52993,7,0.4375,0.00013209291793255714,4.375
7,original,3,20,0,1,northern,central,holdout,northern,375951,12,3.191905328087969e-05,0.6560324059665709,8.927518166157932e-05,2.7969244850710338,3760,0,0.0,0.0,0.0,18798,1,0.08333333333333333,5.319714863283328e-05,1.6666666666666665,37596,4,0.3333333333333333,0.00010639429726566656,3.333333333333333
8,original,23,1,1,0,central,northern,validation,northern,356915,5,1.4008937702254037e-05,0.9629015718248298,0.0002200020776264479,15.70440830720873,3570,0,0.0,0.0,0.0,17846,4,0.8,0.0002241398632746834,16.0,35692,5,1.0,0.00014008741454667713,10.0
8,original,23,1,1,0,central,northern,holdout,central,538756,8,1.4849022563089785e-05,0.9879143402852539,0.0053974527853452164,363.48875910268094,5388,4,0.5,0.0007423904974016332,50.0,26938,8,1.0,0.00029697824634345533,20.0,53876,8,1.0,0.00014848912317172767,10.0
9,original,49,1,2,0,southern,northern,validation,northern,356915,5,1.4008937702254037e-05,0.9509344092348211,0.00020301630222581757,14.491912701785536,3570,0,0.0,0.0,0.0,17846,4,0.8,0.0002241398632746834,16.0,35692,4,0.8,0.0001120699316373417,8.0
9,original,49,1,2,0,southern,northern,holdout,southern,538756,3,5.5683834611586696e-06,0.5261486556300692,3.3616630453451304e-05,6.0370537855265365,5388,0,0.0,0.0,0.0,26938,1,0.3333333333333333,3.712228079293192e-05,6.666666666666666,53876,1,0.3333333333333333,1.856114039646596e-05,3.333333333333333
10,original,5,24,0,1,northern,central,validation,central,524812,24,4.5730661646456256e-05,0.9150813439585763,0.0009286042304719501,20.305943475101877,5249,6,0.25,0.001143074871404077,25.0,26241,18,0.75,0.000685949468389162,15.0,52482,20,0.8333333333333334,0.0003810830379939789,8.333333333333334
10,original,5,24,0,1,northern,central,holdout,northern,368412,12,3.257222891762483e-05,0.7877568539630837,0.00010949537271559993,3.3616174377416335,3685,1,0.08333333333333333,0.000271370420624152,8.333333333333332,18421,1,0.08333333333333333,5.428586938819825e-05,1.6666666666666665,36842,2,0.16666666666666666,5.428586938819825e-05,1.6666666666666665
